gaze_timestamp,gaze_x,gaze_y,confidence,ui_image,ui_timestamp,time_diff,gaze_target
1765555270.586000,1141.0,397.0,high,frame_000000_1765555271257.jpg,1765555271.257000,0.6710,1
1765555270.690000,1139.0,388.0,high,frame_000000_1765555271257.jpg,1765555271.257000,0.5670,1
1765555270.787000,1140.0,387.0,high,frame_000000_1765555271257.jpg,1765555271.257000,0.4700,1
1765555270.889000,534.0,414.0,high,frame_000000_1765555271257.jpg,1765555271.257000,0.3680,1
1765555270.987000,473.0,458.0,high,frame_000000_1765555271257.jpg,1765555271.257000,0.2700,1
1765555271.087000,419.0,487.0,high,frame_000000_1765555271257.jpg,1765555271.257000,0.1700,1
1765555271.187000,372.0,497.0,high,frame_000000_1765555271257.jpg,1765555271.257000,0.0700,1
1765555271.287000,309.0,523.0,high,frame_000000_1765555271257.jpg,1765555271.257000,0.0300,1
1765555271.389000,288.0,519.0,high,frame_000001_1765555271377.jpg,1765555271.377000,0.0120,1
1765555271.486000,283.0,543.0,high,frame_000002_1765555271496.jpg,1765555271.496000,0.0100,1
1765555271.586000,846.0,569.0,high,frame_000003_1765555271612.jpg,1765555271.612000,0.0260,1
1765555271.690000,867.0,628.0,high,frame_000004_1765555271734.jpg,1765555271.734000,0.0440,1
1765555271.790000,898.0,626.0,high,frame_000004_1765555271734.jpg,1765555271.734000,0.0560,1
1765555271.889000,929.0,625.0,high,frame_000005_1765555271850.jpg,1765555271.850000,0.0390,24
1765555271.987000,1006.0,600.0,high,frame_000006_1765555271964.jpg,1765555271.964000,0.0230,24
1765555272.086000,1053.0,559.0,high,frame_000007_1765555272080.jpg,1765555272.080000,0.0060,24
1765555272.186000,1067.0,512.0,high,frame_000008_1765555272193.jpg,1765555272.193000,0.0070,1
1765555272.287000,1067.0,515.0,high,frame_000009_1765555272315.jpg,1765555272.315000,0.0280,1
1765555272.388000,1045.0,354.0,high,frame_000010_1765555272429.jpg,1765555272.429000,0.0410,5
1765555272.495000,1107.0,332.0,high,frame_000011_1765555272542.jpg,1765555272.542000,0.0470,4
1765555272.586000,1317.0,339.0,high,frame_000011_1765555272542.jpg,1765555272.542000,0.0440,4
