gaze_timestamp,gaze_x,gaze_y,confidence,ui_image,ui_timestamp,time_diff,gaze_target
1765560301.311000,258.0,492.0,high,frame_000000_1765560301956.jpg,1765560301.956000,0.6450,1
1765560301.413000,264.0,511.0,high,frame_000000_1765560301956.jpg,1765560301.956000,0.5430,1
1765560301.512000,227.0,547.0,high,frame_000000_1765560301956.jpg,1765560301.956000,0.4440,1
1765560301.614000,174.0,597.0,high,frame_000000_1765560301956.jpg,1765560301.956000,0.3420,1
1765560301.712000,143.0,603.0,high,frame_000000_1765560301956.jpg,1765560301.956000,0.2440,1
1765560301.812000,151.0,612.0,high,frame_000000_1765560301956.jpg,1765560301.956000,0.1440,1
1765560301.936000,106.0,623.0,high,frame_000000_1765560301956.jpg,1765560301.956000,0.0200,1
1765560302.013000,94.0,634.0,high,frame_000001_1765560302058.jpg,1765560302.058000,0.0450,24
1765560302.112000,70.0,640.0,high,frame_000001_1765560302058.jpg,1765560302.058000,0.0540,24
1765560302.212000,44.0,644.0,high,frame_000002_1765560302182.jpg,1765560302.182000,0.0300,1
1765560302.312000,975.0,154.0,high,frame_000003_1765560302296.jpg,1765560302.296000,0.0160,3
1765560302.414000,1087.0,139.0,high,frame_000004_1765560302416.jpg,1765560302.416000,0.0020,11
1765560302.513000,1100.0,144.0,high,frame_000005_1765560302524.jpg,1765560302.524000,0.0110,11
1765560302.611000,1101.0,144.0,high,frame_000006_1765560302638.jpg,1765560302.638000,0.0270,11
1765560302.715000,1094.0,155.0,high,frame_000007_1765560302758.jpg,1765560302.758000,0.0430,11
1765560302.812000,1080.0,870.0,high,frame_000007_1765560302758.jpg,1765560302.758000,0.0540,1
1765560302.912000,1065.0,850.0,high,frame_000008_1765560302868.jpg,1765560302.868000,0.0440,1
1765560303.012000,993.0,849.0,high,frame_000009_1765560302992.jpg,1765560302.992000,0.0200,1
1765560303.111000,995.0,871.0,high,frame_000010_1765560303103.jpg,1765560303.103000,0.0080,1
1765560303.213000,992.0,881.0,high,frame_000011_1765560303217.jpg,1765560303.217000,0.0040,1
1765560303.313000,964.0,210.0,high,frame_000012_1765560303331.jpg,1765560303.331000,0.0180,3
1765560303.411000,910.0,193.0,high,frame_000013_1765560303450.jpg,1765560303.450000,0.0390,6
1765560303.513000,1808.0,131.0,high,frame_000014_1765560303562.jpg,1765560303.562000,0.0490,11
