gaze_timestamp,gaze_x,gaze_y,confidence,ui_image,ui_timestamp,time_diff,gaze_target
1772130781.027000,395.0,756.0,high,frame_000000_1772130781671.jpg,1772130781.671000,0.6440,1
1772130781.127000,389.0,756.0,high,frame_000000_1772130781671.jpg,1772130781.671000,0.5440,1
1772130781.228000,360.0,751.0,high,frame_000000_1772130781671.jpg,1772130781.671000,0.4430,24
1772130781.328000,351.0,752.0,high,frame_000000_1772130781671.jpg,1772130781.671000,0.3430,1
1772130781.431000,343.0,749.0,high,frame_000000_1772130781671.jpg,1772130781.671000,0.2400,1
1772130781.527000,345.0,753.0,high,frame_000000_1772130781671.jpg,1772130781.671000,0.1440,1
1772130781.632000,354.0,755.0,high,frame_000000_1772130781671.jpg,1772130781.671000,0.0390,24
1772130781.729000,370.0,749.0,high,frame_000000_1772130781671.jpg,1772130781.671000,0.0580,24
1772130781.829000,412.0,706.0,high,frame_000001_1772130781798.jpg,1772130781.798000,0.0310,14
1772130781.928000,439.0,646.0,high,frame_000002_1772130781913.jpg,1772130781.913000,0.0150,1
1772130782.027000,450.0,596.0,high,frame_000003_1772130782031.jpg,1772130782.031000,0.0040,1
1772130782.127000,613.0,562.0,high,frame_000004_1772130782146.jpg,1772130782.146000,0.0190,14
1772130782.229000,669.0,547.0,high,frame_000005_1772130782268.jpg,1772130782.268000,0.0390,14
1772130782.327000,693.0,509.0,high,frame_000005_1772130782268.jpg,1772130782.268000,0.0590,14
1772130782.429000,701.0,477.0,high,frame_000006_1772130782395.jpg,1772130782.395000,0.0340,3
1772130782.527000,670.0,466.0,high,frame_000007_1772130782501.jpg,1772130782.501000,0.0260,3
1772130782.627000,541.0,445.0,high,frame_000008_1772130782616.jpg,1772130782.616000,0.0110,14
1772130782.730000,521.0,423.0,high,frame_000009_1772130782732.jpg,1772130782.732000,0.0020,9
1772130782.828000,476.0,433.0,high,frame_000010_1772130782855.jpg,1772130782.855000,0.0270,14
1772130782.928000,475.0,430.0,high,frame_000011_1772130782974.jpg,1772130782.974000,0.0460,20
1772130783.032000,588.0,615.0,high,frame_000012_1772130783085.jpg,1772130783.085000,0.0530,1
1772130783.128000,707.0,716.0,high,frame_000012_1772130783085.jpg,1772130783.085000,0.0430,1
1772130783.229000,713.0,730.0,high,frame_000013_1772130783204.jpg,1772130783.204000,0.0250,1
1772130783.328000,698.0,653.0,high,frame_000014_1772130783318.jpg,1772130783.318000,0.0100,1
1772130783.427000,667.0,610.0,high,frame_000015_1772130783446.jpg,1772130783.446000,0.0190,1
1772130783.528000,654.0,581.0,high,frame_000016_1772130783572.jpg,1772130783.572000,0.0440,1
1772130783.627000,430.0,538.0,high,frame_000017_1772130783682.jpg,1772130783.682000,0.0550,1
