gaze_timestamp,gaze_x,gaze_y,confidence,ui_image,ui_timestamp,time_diff,gaze_target_raw,gaze_target
1764105164.643000,1122.0,539.0,high,frame_000000_1764105165262.jpg,1764105165.262000,0.6190,2,uncertain
1764105164.745000,1107.0,551.0,high,frame_000000_1764105165262.jpg,1764105165.262000,0.5170,2,uncertain
1764105164.844000,1106.0,559.0,high,frame_000000_1764105165262.jpg,1764105165.262000,0.4180,2,uncertain
1764105164.943000,1105.0,562.0,high,frame_000000_1764105165262.jpg,1764105165.262000,0.3190,2,uncertain
1764105165.043000,1101.0,570.0,high,frame_000000_1764105165262.jpg,1764105165.262000,0.2190,2,uncertain
1764105165.143000,1096.0,603.0,high,frame_000000_1764105165262.jpg,1764105165.262000,0.1190,2,uncertain
1764105165.244000,1118.0,606.0,high,frame_000000_1764105165262.jpg,1764105165.262000,0.0180,2,uncertain
1764105165.344000,1135.0,609.0,high,frame_000001_1764105165364.jpg,1764105165.364000,0.0200,2,uncertain
1764105165.443000,1235.0,631.0,high,frame_000002_1764105165477.jpg,1764105165.477000,0.0340,2,uncertain
1764105165.544000,1292.0,636.0,high,frame_000003_1764105165600.jpg,1764105165.600000,0.0560,2,uncertain
1764105165.643000,1290.0,596.0,high,frame_000003_1764105165600.jpg,1764105165.600000,0.0430,2,uncertain
1764105165.745000,1292.0,528.0,high,frame_000004_1764105165709.jpg,1764105165.709000,0.0360,2,uncertain
1764105165.844000,1261.0,521.0,high,frame_000005_1764105165828.jpg,1764105165.828000,0.0160,2,uncertain
1764105165.944000,1194.0,500.0,high,frame_000006_1764105165942.jpg,1764105165.942000,0.0020,2,uncertain
1764105166.045000,1146.0,478.0,high,frame_000007_1764105166057.jpg,1764105166.057000,0.0120,3,irrelevant
1764105166.149000,1133.0,479.0,high,frame_000008_1764105166175.jpg,1764105166.175000,0.0260,2,uncertain
1764105166.245000,1117.0,573.0,high,frame_000009_1764105166295.jpg,1764105166.295000,0.0500,2,uncertain
1764105166.343000,1114.0,676.0,high,frame_000009_1764105166295.jpg,1764105166.295000,0.0480,1,road center
1764105166.443000,1082.0,707.0,high,frame_000010_1764105166408.jpg,1764105166.408000,0.0350,1,road center
1764105166.545000,1012.0,682.0,high,frame_000011_1764105166525.jpg,1764105166.525000,0.0200,1,road center
1764105166.643000,954.0,602.0,high,frame_000012_1764105166642.jpg,1764105166.642000,0.0010,1,road center
1764105166.743000,879.0,548.0,high,frame_000013_1764105166759.jpg,1764105166.759000,0.0160,1,road center
1764105166.847000,833.0,535.0,high,frame_000014_1764105166876.jpg,1764105166.876000,0.0290,1,road center
1764105166.944000,814.0,525.0,high,frame_000015_1764105166993.jpg,1764105166.993000,0.0490,1,road center
1764105167.043000,900.0,315.0,high,frame_000015_1764105166993.jpg,1764105166.993000,0.0500,3,irrelevant
1764105167.144000,945.0,253.0,high,frame_000016_1764105167113.jpg,1764105167.113000,0.0310,3,irrelevant
1764105167.246000,969.0,193.0,high,frame_000017_1764105167228.jpg,1764105167.228000,0.0180,3,irrelevant
1764105167.348000,978.0,202.0,high,frame_000018_1764105167349.jpg,1764105167.349000,0.0010,3,irrelevant
1764105167.444000,829.0,878.0,high,frame_000019_1764105167461.jpg,1764105167.461000,0.0170,unknown,uncertain
1764105167.545000,840.0,847.0,high,frame_000020_1764105167585.jpg,1764105167.585000,0.0400,1,road center
1764105167.643000,852.0,788.0,high,frame_000021_1764105167700.jpg,1764105167.700000,0.0570,1,road center
