gaze_timestamp,gaze_x,gaze_y,confidence,ui_image,ui_timestamp,time_diff,gaze_target_raw,gaze_target
1764105178.747,947.0,478.0,high,frame_000116_1764105178756.jpg,1764105178.756,0.009,6,irrelevant
1764105179.346,1008.0,482.0,high,frame_000121_1764105179343.jpg,1764105179.343,0.003,2,uncertain
1764105179.943,943.0,474.0,high,frame_000126_1764105179930.jpg,1764105179.93,0.013,2,uncertain
1764105180.544,930.0,435.0,high,frame_000131_1764105180512.jpg,1764105180.512,0.032,2,uncertain
1764105181.043,957.0,450.0,high,frame_000136_1764105181091.jpg,1764105181.091,0.048,6,irrelevant
1764105181.644,923.0,464.0,high,frame_000141_1764105181672.jpg,1764105181.672,0.028,2,uncertain
1764105182.244,959.0,494.0,high,frame_000146_1764105182264.jpg,1764105182.264,0.02,5,irrelevant
1764105182.847,948.0,484.0,high,frame_000151_1764105182840.jpg,1764105182.84,0.007,2,uncertain
1764105183.445,953.0,474.0,high,frame_000156_1764105183424.jpg,1764105183.424,0.021,2,uncertain
1764105203.745,957.0,462.0,high,frame_000331_1764105203725.jpg,1764105203.725,0.02,2,uncertain
1764105204.345,904.0,455.0,high,frame_000336_1764105204303.jpg,1764105204.303,0.042,2,uncertain
1764105204.844,900.0,464.0,high,frame_000341_1764105204880.jpg,1764105204.88,0.036,2,uncertain
1764105205.443,942.0,276.0,high,frame_000346_1764105205461.jpg,1764105205.461,0.018,9,irrelevant
1764105206.043,921.0,103.0,high,frame_000351_1764105206035.jpg,1764105206.035,0.008,6,irrelevant
1764105206.643,1000.0,417.0,high,frame_000356_1764105206616.jpg,1764105206.616,0.027,9,irrelevant
1764105207.144,1012.0,434.0,high,frame_000361_1764105207192.jpg,1764105207.192,0.048,2,uncertain
1764105207.743,1091.0,432.0,high,frame_000366_1764105207774.jpg,1764105207.774,0.031,2,uncertain
1764105208.344,1181.0,440.0,high,frame_000371_1764105208346.jpg,1764105208.346,0.002,2,uncertain
1764105208.943,1148.0,433.0,high,frame_000376_1764105208923.jpg,1764105208.923,0.02,9,irrelevant
1764105209.447,1101.0,462.0,high,frame_000381_1764105209496.jpg,1764105209.496,0.049,1,road center
1764105210.044,1086.0,450.0,high,frame_000386_1764105210077.jpg,1764105210.077,0.033,2,uncertain
1764105224.943,940.0,412.0,high,frame_000515_1764105224945.jpg,1764105224.945,0.002,3,irrelevant
1764105225.544,954.0,432.0,high,frame_000520_1764105225524.jpg,1764105225.524,0.02,2,uncertain
1764105226.043,932.0,446.0,high,frame_000525_1764105226098.jpg,1764105226.098,0.055,2,uncertain
1764105226.644,1015.0,406.0,high,frame_000530_1764105226667.jpg,1764105226.667,0.023,3,irrelevant
1764105227.243,933.0,619.0,high,frame_000535_1764105227239.jpg,1764105227.239,0.004,1,road center
1764105227.844,894.0,456.0,high,frame_000540_1764105227812.jpg,1764105227.812,0.032,2,uncertain
1764105228.345,823.0,421.0,high,frame_000545_1764105228395.jpg,1764105228.395,0.05,2,uncertain
1764105228.944,887.0,435.0,high,frame_000550_1764105228980.jpg,1764105228.98,0.036,1,road center
1764105229.545,899.0,452.0,high,frame_000555_1764105229571.jpg,1764105229.571,0.026,20,irrelevant
