gaze_timestamp,gaze_x,gaze_y,confidence,ui_image,ui_timestamp,time_diff,gaze_target_raw,gaze_target
1764105651.667000,710.0,403.0,high,frame_000000_1764105652339.jpg,1764105652.339000,0.6720,1,road center
1764105651.767000,715.0,403.0,high,frame_000000_1764105652339.jpg,1764105652.339000,0.5720,1,road center
1764105651.871000,715.0,394.0,high,frame_000000_1764105652339.jpg,1764105652.339000,0.4680,1,road center
1764105651.968000,745.0,494.0,high,frame_000000_1764105652339.jpg,1764105652.339000,0.3710,1,road center
1764105652.069000,743.0,561.0,high,frame_000000_1764105652339.jpg,1764105652.339000,0.2700,1,road center
1764105652.168000,759.0,618.0,high,frame_000000_1764105652339.jpg,1764105652.339000,0.1710,1,road center
1764105652.299000,763.0,592.0,high,frame_000000_1764105652339.jpg,1764105652.339000,0.0400,1,road center
1764105652.371000,759.0,601.0,high,frame_000000_1764105652339.jpg,1764105652.339000,0.0320,1,road center
1764105652.473000,753.0,644.0,high,frame_000001_1764105652465.jpg,1764105652.465000,0.0080,1,road center
1764105652.568000,748.0,653.0,high,frame_000002_1764105652578.jpg,1764105652.578000,0.0100,1,road center
1764105652.668000,784.0,603.0,high,frame_000003_1764105652694.jpg,1764105652.694000,0.0260,1,road center
1764105652.768000,850.0,482.0,high,frame_000004_1764105652812.jpg,1764105652.812000,0.0440,1,road center
1764105652.868000,952.0,417.0,high,frame_000004_1764105652812.jpg,1764105652.812000,0.0560,1,road center
1764105652.968000,958.0,395.0,high,frame_000005_1764105652927.jpg,1764105652.927000,0.0410,2,road center
1764105653.069000,965.0,399.0,high,frame_000006_1764105653043.jpg,1764105653.043000,0.0260,2,road center
1764105653.167000,1045.0,395.0,high,frame_000007_1764105653162.jpg,1764105653.162000,0.0050,20,irrelevant
1764105653.269000,1133.0,381.0,high,frame_000008_1764105653282.jpg,1764105653.282000,0.0130,2,road center
1764105653.368000,1153.0,374.0,high,frame_000009_1764105653394.jpg,1764105653.394000,0.0260,2,road center
1764105653.470000,1174.0,350.0,high,frame_000010_1764105653508.jpg,1764105653.508000,0.0380,11,irrelevant
1764105653.568000,1174.0,344.0,high,frame_000011_1764105653628.jpg,1764105653.628000,0.0600,11,irrelevant
1764105653.668000,1172.0,349.0,high,frame_000011_1764105653628.jpg,1764105653.628000,0.0400,11,irrelevant
1764105653.767000,1173.0,353.0,high,frame_000012_1764105653745.jpg,1764105653.745000,0.0220,11,irrelevant
1764105653.868000,1184.0,358.0,high,frame_000013_1764105653860.jpg,1764105653.860000,0.0080,23,irrelevant
1764105653.968000,1180.0,370.0,high,frame_000014_1764105653978.jpg,1764105653.978000,0.0100,10,irrelevant
1764105654.068000,1187.0,363.0,high,frame_000015_1764105654093.jpg,1764105654.093000,0.0250,23,irrelevant
1764105654.168000,1192.0,373.0,high,frame_000016_1764105654206.jpg,1764105654.206000,0.0380,2,road center
1764105654.268000,1205.0,377.0,high,frame_000017_1764105654322.jpg,1764105654.322000,0.0540,2,road center
1764105654.368000,1200.0,377.0,high,frame_000017_1764105654322.jpg,1764105654.322000,0.0460,2,road center
1764105654.469000,1206.0,374.0,high,frame_000018_1764105654429.jpg,1764105654.429000,0.0400,2,road center
1764105654.568000,1221.0,371.0,high,frame_000019_1764105654539.jpg,1764105654.539000,0.0290,10,irrelevant
1764105654.668000,1227.0,370.0,high,frame_000020_1764105654659.jpg,1764105654.659000,0.0090,10,irrelevant
1764105654.768000,1236.0,371.0,high,frame_000021_1764105654775.jpg,1764105654.775000,0.0070,10,irrelevant
1764105654.869000,1237.0,374.0,high,frame_000022_1764105654895.jpg,1764105654.895000,0.0260,2,road center
1764105654.969000,1226.0,371.0,high,frame_000023_1764105655013.jpg,1764105655.013000,0.0440,10,irrelevant
1764105655.068000,1222.0,368.0,high,frame_000023_1764105655013.jpg,1764105655.013000,0.0550,2,road center
1764105655.167000,1214.0,377.0,high,frame_000024_1764105655130.jpg,1764105655.130000,0.0370,2,road center
1764105655.269000,1212.0,354.0,high,frame_000025_1764105655254.jpg,1764105655.254000,0.0150,11,irrelevant
1764105655.367000,1202.0,325.0,high,frame_000026_1764105655358.jpg,1764105655.358000,0.0090,11,irrelevant
1764105655.468000,1197.0,304.0,high,frame_000027_1764105655471.jpg,1764105655.471000,0.0030,11,irrelevant
1764105655.568000,1194.0,295.0,high,frame_000028_1764105655584.jpg,1764105655.584000,0.0160,11,irrelevant
1764105655.669000,1196.0,211.0,high,frame_000029_1764105655699.jpg,1764105655.699000,0.0300,11,irrelevant
1764105655.769000,1205.0,76.0,high,frame_000030_1764105655814.jpg,1764105655.814000,0.0450,11,irrelevant
1764105655.869000,1193.0,36.0,high,frame_000030_1764105655814.jpg,1764105655.814000,0.0550,11,irrelevant
1764105655.969000,1186.0,7.0,high,frame_000031_1764105655928.jpg,1764105655.928000,0.0410,11,irrelevant
1764105656.067000,1198.0,5.0,high,frame_000032_1764105656044.jpg,1764105656.044000,0.0230,11,irrelevant
1764105656.169000,1211.0,61.0,high,frame_000033_1764105656165.jpg,1764105656.165000,0.0040,11,irrelevant
