gaze_timestamp,gaze_x,gaze_y,confidence,ui_image,ui_timestamp,time_diff,gaze_target_raw,gaze_target
1764105663.869,548.0,386.0,high,frame_000100_1764105663921.jpg,1764105663.921,0.052,1,road center
1764105664.468,736.0,357.0,high,frame_000105_1764105664494.jpg,1764105664.494,0.026,21,cone
1764105665.07,798.0,345.0,high,frame_000110_1764105665077.jpg,1764105665.077,0.007,3,irrelevant
1764105665.669,862.0,369.0,high,frame_000115_1764105665653.jpg,1764105665.653,0.016,2,road center
1764105666.269,938.0,361.0,high,frame_000120_1764105666236.jpg,1764105666.236,0.033,3,irrelevant
1764105666.768,903.0,395.0,high,frame_000125_1764105666815.jpg,1764105666.815,0.047,1,road center
1764105667.368,850.0,347.0,high,frame_000130_1764105667406.jpg,1764105667.406,0.038,21,cone
1764105667.968,896.0,313.0,high,frame_000135_1764105667992.jpg,1764105667.992,0.024,11,irrelevant
1764105668.568,977.0,359.0,high,frame_000140_1764105668569.jpg,1764105668.569,0.001,21,cone
1764105669.167,1115.0,382.0,high,frame_000145_1764105669157.jpg,1764105669.157,0.01,2,road center
1764105669.768,1260.0,401.0,high,frame_000150_1764105669749.jpg,1764105669.749,0.019,2,road center
1764105670.267,1343.0,433.0,high,frame_000155_1764105670317.jpg,1764105670.317,0.05,1,road center
1764105670.868,1476.0,405.0,high,frame_000160_1764105670893.jpg,1764105670.893,0.025,2,road center
1764105671.469,1382.0,389.0,high,frame_000165_1764105671468.jpg,1764105671.468,0.001,0,workzone element
1764105672.067,1337.0,382.0,high,frame_000170_1764105672051.jpg,1764105672.051,0.016,2,road center
1764105701.367,782.0,356.0,high,frame_000425_1764105701333.jpg,1764105701.333,0.034,3,irrelevant
1764105701.868,586.0,353.0,high,frame_000430_1764105701908.jpg,1764105701.908,0.04,3,irrelevant
1764105702.468,1066.0,351.0,high,frame_000435_1764105702479.jpg,1764105702.479,0.011,20,irrelevant
1764105752.068,1091.0,547.0,high,frame_000865_1764105752116.jpg,1764105752.116,0.048,1,road center
1764105752.668,949.0,361.0,high,frame_000870_1764105752684.jpg,1764105752.684,0.016,14,vehicle
1764105753.269,1205.0,379.0,high,frame_000875_1764105753256.jpg,1764105753.256,0.013,14,vehicle
1764105753.868,1187.0,378.0,high,frame_000880_1764105753825.jpg,1764105753.825,0.043,14,vehicle
1764105754.369,1055.0,392.0,high,frame_000885_1764105754407.jpg,1764105754.407,0.038,18,vehicle
1764105754.968,1205.0,340.0,high,frame_000890_1764105754993.jpg,1764105754.993,0.025,21,cone
1764105755.569,1164.0,346.0,high,frame_000895_1764105755574.jpg,1764105755.574,0.005,3,irrelevant
