gaze_timestamp,gaze_x,gaze_y,confidence,ui_image,ui_timestamp,time_diff,gaze_target_raw,gaze_target
1764106104.696,380.0,448.0,high,frame_000208_1764106104748.jpg,1764106104.748,0.052,3,irrelevant
1764106105.298,543.0,299.0,high,frame_000213_1764106105331.jpg,1764106105.331,0.033,11,irrelevant
1764106105.897,905.0,285.0,high,frame_000218_1764106105918.jpg,1764106105.918,0.021,9,irrelevant
1764106106.496,926.0,338.0,high,frame_000223_1764106106504.jpg,1764106106.504,0.008,9,irrelevant
1764106107.1,1071.0,257.0,high,frame_000228_1764106107095.jpg,1764106107.095,0.005,11,irrelevant
1764106107.695,1039.0,313.0,high,frame_000233_1764106107673.jpg,1764106107.673,0.022,9,irrelevant
1764106108.196,1150.0,259.0,high,frame_000238_1764106108246.jpg,1764106108.246,0.05,11,irrelevant
1764106108.796,1011.0,318.0,high,frame_000243_1764106108837.jpg,1764106108.837,0.041,9,irrelevant
1764106109.396,975.0,181.0,high,frame_000248_1764106109422.jpg,1764106109.422,0.026,11,irrelevant
1764106109.996,1003.0,0.0,high,frame_000253_1764106110012.jpg,1764106110.012,0.016,11,irrelevant
1764106110.597,1062.0,96.0,high,frame_000258_1764106110591.jpg,1764106110.591,0.006,11,irrelevant
1764106111.197,1004.0,269.0,high,frame_000263_1764106111161.jpg,1764106111.161,0.036,9,irrelevant
1764106111.695,1046.0,248.0,high,frame_000268_1764106111738.jpg,1764106111.738,0.043,9,irrelevant
1764106112.295,1300.0,496.0,high,frame_000273_1764106112313.jpg,1764106112.313,0.018,10,irrelevant
1764106112.897,1174.0,155.0,high,frame_000278_1764106112888.jpg,1764106112.888,0.009,11,irrelevant
1764106113.496,1167.0,140.0,high,frame_000283_1764106113485.jpg,1764106113.485,0.011,11,irrelevant
1764106114.096,1081.0,51.0,high,frame_000288_1764106114072.jpg,1764106114.072,0.024,11,irrelevant
1764106114.597,1140.0,99.0,high,frame_000293_1764106114650.jpg,1764106114.65,0.053,11,irrelevant
1764106115.199,907.0,244.0,high,frame_000298_1764106115239.jpg,1764106115.239,0.04,9,irrelevant
1764106115.797,947.0,343.0,high,frame_000303_1764106115841.jpg,1764106115.841,0.044,9,irrelevant
1764106116.396,1054.0,699.0,high,frame_000308_1764106116426.jpg,1764106116.426,0.03,1,road center
1764106116.996,1129.0,179.0,high,frame_000313_1764106117026.jpg,1764106117.026,0.03,11,irrelevant
1764106117.597,1135.0,196.0,high,frame_000318_1764106117608.jpg,1764106117.608,0.011,11,irrelevant
1764106118.198,1102.0,188.0,high,frame_000323_1764106118195.jpg,1764106118.195,0.003,11,irrelevant
1764106118.796,1060.0,111.0,high,frame_000328_1764106118778.jpg,1764106118.778,0.018,11,irrelevant
1764106119.396,1040.0,91.0,high,frame_000333_1764106119361.jpg,1764106119.361,0.035,11,irrelevant
