gaze_timestamp,gaze_x,gaze_y,confidence,ui_image,ui_timestamp,time_diff,gaze_target_raw,gaze_target
1764107066.637000,596.0,578.0,high,frame_000000_1764107067319.jpg,1764107067.319000,0.6820,1,road center
1764107066.738000,610.0,581.0,high,frame_000000_1764107067319.jpg,1764107067.319000,0.5810,1,road center
1764107066.838000,632.0,568.0,high,frame_000000_1764107067319.jpg,1764107067.319000,0.4810,1,road center
1764107066.939000,643.0,566.0,high,frame_000000_1764107067319.jpg,1764107067.319000,0.3800,1,road center
1764107067.038000,655.0,559.0,high,frame_000000_1764107067319.jpg,1764107067.319000,0.2810,1,road center
1764107067.139000,661.0,567.0,high,frame_000000_1764107067319.jpg,1764107067.319000,0.1800,1,road center
1764107067.239000,662.0,602.0,high,frame_000000_1764107067319.jpg,1764107067.319000,0.0800,1,road center
1764107067.343000,654.0,616.0,high,frame_000000_1764107067319.jpg,1764107067.319000,0.0240,1,road center
1764107067.439000,647.0,623.0,high,frame_000001_1764107067426.jpg,1764107067.426000,0.0130,1,road center
1764107067.543000,639.0,623.0,high,frame_000002_1764107067547.jpg,1764107067.547000,0.0040,1,road center
1764107067.637000,647.0,566.0,high,frame_000003_1764107067662.jpg,1764107067.662000,0.0250,1,road center
1764107067.737000,682.0,440.0,high,frame_000004_1764107067780.jpg,1764107067.780000,0.0430,3,irrelevant
1764107067.837000,712.0,412.0,high,frame_000004_1764107067780.jpg,1764107067.780000,0.0570,3,irrelevant
1764107067.939000,882.0,384.0,high,frame_000005_1764107067902.jpg,1764107067.902000,0.0370,9,irrelevant
1764107068.041000,916.0,264.0,high,frame_000006_1764107068017.jpg,1764107068.017000,0.0240,11,irrelevant
1764107068.139000,947.0,206.0,high,frame_000007_1764107068131.jpg,1764107068.131000,0.0080,11,irrelevant
1764107068.238000,957.0,158.0,high,frame_000008_1764107068247.jpg,1764107068.247000,0.0090,11,irrelevant
1764107068.341000,957.0,210.0,high,frame_000009_1764107068370.jpg,1764107068.370000,0.0290,11,irrelevant
1764107068.439000,960.0,287.0,high,frame_000010_1764107068480.jpg,1764107068.480000,0.0410,9,irrelevant
1764107068.538000,958.0,423.0,high,frame_000011_1764107068594.jpg,1764107068.594000,0.0560,9,irrelevant
1764107068.639000,947.0,637.0,high,frame_000011_1764107068594.jpg,1764107068.594000,0.0450,1,road center
1764107068.741000,933.0,776.0,high,frame_000012_1764107068709.jpg,1764107068.709000,0.0320,1,road center
1764107068.839000,919.0,795.0,high,frame_000013_1764107068831.jpg,1764107068.831000,0.0080,1,road center
1764107068.939000,910.0,780.0,high,frame_000014_1764107068950.jpg,1764107068.950000,0.0110,1,road center
1764107069.039000,872.0,984.0,high,frame_000015_1764107069065.jpg,1764107069.065000,0.0260,1,road center
1764107069.139000,835.0,1075.0,high,frame_000016_1764107069177.jpg,1764107069.177000,0.0380,14,vehicle
1764107069.239000,821.0,503.0,high,frame_000017_1764107069296.jpg,1764107069.296000,0.0570,1,road center
1764107069.338000,824.0,460.0,high,frame_000017_1764107069296.jpg,1764107069.296000,0.0420,6,irrelevant
1764107069.438000,876.0,354.0,high,frame_000018_1764107069411.jpg,1764107069.411000,0.0270,9,irrelevant
