gaze_timestamp,gaze_x,gaze_y,confidence,ui_image,ui_timestamp,time_diff,gaze_target_raw,gaze_target
1764107126.437,976.0,441.0,high,frame_000509_1764107126439.jpg,1764107126.439,0.002,6,irrelevant
1764107127.04,952.0,445.0,high,frame_000514_1764107127019.jpg,1764107127.019,0.021,6,irrelevant
1764107127.538,916.0,424.0,high,frame_000519_1764107127586.jpg,1764107127.586,0.048,3,irrelevant
1764107128.137,862.0,411.0,high,frame_000524_1764107128155.jpg,1764107128.155,0.018,11,irrelevant
1764107128.739,722.0,405.0,high,frame_000529_1764107128746.jpg,1764107128.746,0.007,9,irrelevant
1764107129.339,881.0,421.0,high,frame_000534_1764107129333.jpg,1764107129.333,0.006,11,irrelevant
1764107129.738,937.0,404.0,high,frame_000538_1764107129774.jpg,1764107129.774,0.036,3,irrelevant
1764107130.338,771.0,426.0,high,frame_000543_1764107130355.jpg,1764107130.355,0.017,9,irrelevant
1764107130.941,923.0,399.0,high,frame_000548_1764107130923.jpg,1764107130.923,0.018,3,irrelevant
1764107131.537,975.0,393.0,high,frame_000553_1764107131499.jpg,1764107131.499,0.038,3,irrelevant
1764107132.038,969.0,463.0,high,frame_000558_1764107132075.jpg,1764107132.075,0.037,2,road center
1764107132.638,884.0,449.0,high,frame_000563_1764107132654.jpg,1764107132.654,0.016,3,irrelevant
1764107133.238,1053.0,416.0,high,frame_000568_1764107133219.jpg,1764107133.219,0.019,3,irrelevant
1764107133.84,968.0,432.0,high,frame_000573_1764107133799.jpg,1764107133.799,0.041,3,irrelevant
1764107134.338,961.0,450.0,high,frame_000578_1764107134379.jpg,1764107134.379,0.041,3,irrelevant
1764107134.938,1025.0,455.0,high,frame_000583_1764107134954.jpg,1764107134.954,0.016,3,irrelevant
1764107135.541,1058.0,445.0,high,frame_000588_1764107135531.jpg,1764107135.531,0.01,3,irrelevant
1764107136.138,1106.0,469.0,high,frame_000593_1764107136105.jpg,1764107136.105,0.033,28,irrelevant
1764107136.638,1359.0,392.0,high,frame_000598_1764107136680.jpg,1764107136.68,0.042,3,irrelevant
1764107137.239,1655.0,457.0,high,frame_000603_1764107137255.jpg,1764107137.255,0.016,3,irrelevant
1764107137.837,1772.0,553.0,high,frame_000608_1764107137843.jpg,1764107137.843,0.006,5,irrelevant
1764107138.44,1812.0,552.0,high,frame_000613_1764107138437.jpg,1764107138.437,0.003,5,irrelevant
1764107139.038,1919.0,517.0,high,frame_000618_1764107139031.jpg,1764107139.031,0.007,unknown,uncertain
1764107139.638,1919.0,576.0,high,frame_000623_1764107139616.jpg,1764107139.616,0.022,unknown,uncertain
1764107140.142,1919.0,565.0,high,frame_000628_1764107140190.jpg,1764107140.19,0.048,unknown,uncertain
1764107140.738,1465.0,455.0,high,frame_000633_1764107140776.jpg,1764107140.776,0.038,4,irrelevant
1764107141.341,1089.0,482.0,high,frame_000638_1764107141360.jpg,1764107141.36,0.019,22,uncertain
