gaze_timestamp,gaze_x,gaze_y,confidence,ui_image,ui_timestamp,time_diff,gaze_target_raw,gaze_target
1764107565.645000,761.0,497.0,high,frame_000000_1764107566352.jpg,1764107566.352000,0.7070,1,road center
1764107565.745000,748.0,487.0,high,frame_000000_1764107566352.jpg,1764107566.352000,0.6070,1,road center
1764107565.846000,747.0,489.0,high,frame_000000_1764107566352.jpg,1764107566.352000,0.5060,1,road center
1764107565.947000,746.0,491.0,high,frame_000000_1764107566352.jpg,1764107566.352000,0.4050,1,road center
1764107566.045000,744.0,494.0,high,frame_000000_1764107566352.jpg,1764107566.352000,0.3070,1,road center
1764107566.146000,740.0,493.0,high,frame_000000_1764107566352.jpg,1764107566.352000,0.2060,1,road center
1764107566.245000,737.0,484.0,high,frame_000000_1764107566352.jpg,1764107566.352000,0.1070,1,road center
1764107566.347000,737.0,480.0,high,frame_000000_1764107566352.jpg,1764107566.352000,0.0050,1,road center
1764107566.445000,733.0,483.0,high,frame_000001_1764107566460.jpg,1764107566.460000,0.0150,1,road center
1764107566.549000,731.0,477.0,high,frame_000002_1764107566575.jpg,1764107566.575000,0.0260,1,road center
1764107566.646000,731.0,479.0,high,frame_000003_1764107566693.jpg,1764107566.693000,0.0470,1,road center
1764107566.746000,730.0,473.0,high,frame_000003_1764107566693.jpg,1764107566.693000,0.0530,1,road center
1764107566.845000,729.0,471.0,high,frame_000004_1764107566808.jpg,1764107566.808000,0.0370,2,road center
1764107566.945000,726.0,473.0,high,frame_000005_1764107566925.jpg,1764107566.925000,0.0200,1,road center
1764107567.046000,723.0,486.0,high,frame_000006_1764107567040.jpg,1764107567.040000,0.0060,1,road center
1764107567.146000,722.0,483.0,high,frame_000007_1764107567156.jpg,1764107567.156000,0.0100,1,road center
1764107567.247000,721.0,457.0,high,frame_000008_1764107567269.jpg,1764107567.269000,0.0220,20,irrelevant
1764107567.346000,721.0,462.0,high,frame_000009_1764107567390.jpg,1764107567.390000,0.0440,20,irrelevant
1764107567.445000,727.0,463.0,high,frame_000009_1764107567390.jpg,1764107567.390000,0.0550,2,road center
1764107567.545000,736.0,464.0,high,frame_000010_1764107567502.jpg,1764107567.502000,0.0430,6,irrelevant
1764107567.646000,748.0,469.0,high,frame_000011_1764107567615.jpg,1764107567.615000,0.0310,2,road center
1764107567.747000,748.0,469.0,high,frame_000012_1764107567730.jpg,1764107567.730000,0.0170,2,road center
1764107567.846000,753.0,460.0,high,frame_000013_1764107567844.jpg,1764107567.844000,0.0020,5,irrelevant
1764107567.946000,754.0,469.0,high,frame_000014_1764107567962.jpg,1764107567.962000,0.0160,2,road center
1764107568.048000,754.0,468.0,high,frame_000015_1764107568079.jpg,1764107568.079000,0.0310,2,road center
1764107568.146000,751.0,466.0,high,frame_000016_1764107568194.jpg,1764107568.194000,0.0480,2,road center
1764107568.246000,754.0,461.0,high,frame_000016_1764107568194.jpg,1764107568.194000,0.0520,23,irrelevant
1764107568.348000,811.0,456.0,high,frame_000017_1764107568307.jpg,1764107568.307000,0.0410,9,irrelevant
1764107568.445000,1137.0,430.0,high,frame_000018_1764107568423.jpg,1764107568.423000,0.0220,15,vehicle
1764107568.545000,1204.0,381.0,high,frame_000019_1764107568534.jpg,1764107568.534000,0.0110,15,vehicle
1764107568.647000,1270.0,375.0,high,frame_000020_1764107568645.jpg,1764107568.645000,0.0020,15,vehicle
1764107568.745000,1265.0,377.0,high,frame_000021_1764107568759.jpg,1764107568.759000,0.0140,15,vehicle
1764107568.846000,1230.0,369.0,high,frame_000022_1764107568872.jpg,1764107568.872000,0.0260,3,irrelevant
1764107568.946000,1183.0,364.0,high,frame_000023_1764107568987.jpg,1764107568.987000,0.0410,3,irrelevant
1764107569.046000,1164.0,356.0,high,frame_000024_1764107569102.jpg,1764107569.102000,0.0560,3,irrelevant
1764107569.146000,1134.0,362.0,high,frame_000024_1764107569102.jpg,1764107569.102000,0.0440,11,irrelevant
1764107569.245000,1129.0,365.0,high,frame_000025_1764107569221.jpg,1764107569.221000,0.0240,11,irrelevant
1764107569.350000,1125.0,376.0,high,frame_000026_1764107569336.jpg,1764107569.336000,0.0140,11,irrelevant
1764107569.447000,1124.0,387.0,high,frame_000027_1764107569450.jpg,1764107569.450000,0.0030,11,irrelevant
1764107569.545000,1029.0,1079.0,high,frame_000028_1764107569566.jpg,1764107569.566000,0.0210,unknown,uncertain
1764107569.645000,0.0,0.0,lost,frame_000029_1764107569682.jpg,1764107569.682000,0.0370,11,irrelevant
1764107569.745000,0.0,0.0,lost,frame_000030_1764107569803.jpg,1764107569.803000,0.0580,11,irrelevant
1764107569.846000,0.0,0.0,lost,frame_000030_1764107569803.jpg,1764107569.803000,0.0430,11,irrelevant
1764107569.945000,0.0,0.0,lost,frame_000031_1764107569918.jpg,1764107569.918000,0.0270,11,irrelevant
1764107570.045000,0.0,0.0,lost,frame_000032_1764107570034.jpg,1764107570.034000,0.0110,11,irrelevant
1764107570.146000,0.0,0.0,lost,frame_000033_1764107570147.jpg,1764107570.147000,0.0010,11,irrelevant
1764107570.246000,0.0,0.0,lost,frame_000034_1764107570262.jpg,1764107570.262000,0.0160,11,irrelevant
1764107570.346000,975.0,306.0,high,frame_000035_1764107570379.jpg,1764107570.379000,0.0330,11,irrelevant
1764107570.446000,908.0,295.0,high,frame_000036_1764107570495.jpg,1764107570.495000,0.0490,11,irrelevant
1764107570.545000,875.0,293.0,high,frame_000036_1764107570495.jpg,1764107570.495000,0.0500,11,irrelevant
