gaze_timestamp,gaze_x,gaze_y,confidence,ui_image,ui_timestamp,time_diff,gaze_target_raw,gaze_target
1764107582.147,1365.0,462.0,high,frame_000137_1764107582131.jpg,1764107582.131,0.016,20,irrelevant
1764107582.746,1439.0,469.0,high,frame_000142_1764107582704.jpg,1764107582.704,0.042,9,irrelevant
1764107583.247,1471.0,467.0,high,frame_000147_1764107583280.jpg,1764107583.28,0.033,9,irrelevant
1764107583.845,1469.0,437.0,high,frame_000152_1764107583865.jpg,1764107583.865,0.02,9,irrelevant
1764107584.448,1310.0,208.0,high,frame_000157_1764107584445.jpg,1764107584.445,0.003,11,irrelevant
1764107585.047,1384.0,431.0,high,frame_000162_1764107585033.jpg,1764107585.033,0.014,9,irrelevant
1764107585.646,1328.0,511.0,high,frame_000167_1764107585613.jpg,1764107585.613,0.033,3,irrelevant
1764107586.145,1076.0,482.0,high,frame_000172_1764107586196.jpg,1764107586.196,0.051,3,irrelevant
1764107586.745,955.0,424.0,high,frame_000177_1764107586772.jpg,1764107586.772,0.027,20,irrelevant
1764107587.345,890.0,432.0,high,frame_000182_1764107587361.jpg,1764107587.361,0.016,3,irrelevant
1764107587.945,742.0,420.0,high,frame_000187_1764107587949.jpg,1764107587.949,0.004,11,irrelevant
1764107588.545,801.0,319.0,high,frame_000192_1764107588534.jpg,1764107588.534,0.011,11,irrelevant
1764107589.146,826.0,353.0,high,frame_000197_1764107589119.jpg,1764107589.119,0.027,22,uncertain
1764107589.646,865.0,298.0,high,frame_000202_1764107589687.jpg,1764107589.687,0.041,11,irrelevant
1764107590.247,921.0,299.0,high,frame_000207_1764107590270.jpg,1764107590.27,0.023,3,irrelevant
1764107590.845,929.0,284.0,high,frame_000212_1764107590851.jpg,1764107590.851,0.006,3,irrelevant
1764107591.445,559.0,231.0,high,frame_000217_1764107591433.jpg,1764107591.433,0.012,11,irrelevant
1764107592.045,862.0,254.0,high,frame_000222_1764107592013.jpg,1764107592.013,0.032,11,irrelevant
1764107592.548,736.0,461.0,high,frame_000227_1764107592586.jpg,1764107592.586,0.038,2,road center
1764107593.15,894.0,300.0,high,frame_000232_1764107593175.jpg,1764107593.175,0.025,11,irrelevant
1764107593.747,934.0,341.0,high,frame_000237_1764107593743.jpg,1764107593.743,0.004,3,irrelevant
1764107627.046,988.0,412.0,high,frame_000524_1764107627086.jpg,1764107627.086,0.04,22,uncertain
1764107627.646,958.0,130.0,high,frame_000529_1764107627677.jpg,1764107627.677,0.031,11,irrelevant
1764107628.246,965.0,326.0,high,frame_000534_1764107628261.jpg,1764107628.261,0.015,11,irrelevant
1764107628.845,1026.0,373.0,high,frame_000539_1764107628843.jpg,1764107628.843,0.002,3,irrelevant
1764107629.445,1150.0,345.0,high,frame_000544_1764107629425.jpg,1764107629.425,0.02,3,irrelevant
1764107629.946,1248.0,360.0,high,frame_000549_1764107630003.jpg,1764107630.003,0.057,3,irrelevant
1764107630.545,1293.0,382.0,high,frame_000554_1764107630573.jpg,1764107630.573,0.028,3,irrelevant
1764107631.145,1294.0,374.0,high,frame_000559_1764107631163.jpg,1764107631.163,0.018,3,irrelevant
1764107631.745,1222.0,391.0,high,frame_000564_1764107631754.jpg,1764107631.754,0.009,22,uncertain
1764107632.347,1258.0,398.0,high,frame_000569_1764107632341.jpg,1764107632.341,0.006,3,irrelevant
1764107632.945,1246.0,413.0,high,frame_000574_1764107632924.jpg,1764107632.924,0.021,3,irrelevant
1764107633.546,1214.0,381.0,high,frame_000579_1764107633510.jpg,1764107633.51,0.036,3,irrelevant
1764107662.146,1555.0,425.0,high,frame_000825_1764107662134.jpg,1764107662.134,0.012,22,uncertain
1764107662.745,1597.0,389.0,high,frame_000830_1764107662714.jpg,1764107662.714,0.031,22,uncertain
1764107663.248,1553.0,382.0,high,frame_000835_1764107663292.jpg,1764107663.292,0.044,11,irrelevant
1764107663.846,1492.0,413.0,high,frame_000840_1764107663870.jpg,1764107663.87,0.024,11,irrelevant
1764107664.448,1455.0,418.0,high,frame_000845_1764107664459.jpg,1764107664.459,0.011,6,irrelevant
1764107665.045,1411.0,421.0,high,frame_000850_1764107665037.jpg,1764107665.037,0.008,20,irrelevant
1764107665.645,1370.0,459.0,high,frame_000855_1764107665612.jpg,1764107665.612,0.033,20,irrelevant
1764107666.146,1243.0,464.0,high,frame_000860_1764107666187.jpg,1764107666.187,0.041,3,irrelevant
1764107666.746,1147.0,473.0,high,frame_000865_1764107666771.jpg,1764107666.771,0.025,3,irrelevant
1764107667.345,1159.0,439.0,high,frame_000870_1764107667352.jpg,1764107667.352,0.007,3,irrelevant
1764107667.945,1106.0,444.0,high,frame_000875_1764107667932.jpg,1764107667.932,0.013,5,irrelevant
